"name","address","lat","lng"
"May Ranch Elementary School","900 E Morgan St, Perris, CA 92571, USA",33.8382425,-117.2055425
"Triple Crown Elmentary School","530 Orange Ave, Perris, CA 92571, USA",33.8162207,-117.2154025
"Perris Lake High School","418 W Ellis Ave, Perris, CA 92570, USA",33.772349,-117.232669
"Avalon Elementary School","1815 E Rider St, Perris, CA 92571, USA",33.8312155,-117.1862593
"Railway Elementary School","555 Alpine Dr, Perris, CA 92570, USA",33.7600447,-117.2349091
"Perris Elementary School District","143 E 1st St, Perris, CA 92570, USA",33.785223,-117.227111
"Innovative Horizons Charter School at Nan Sanders","1461 N A St, Perris, CA 92570, USA",33.8001652,-117.2341605
"Perris Elementary School","500 S A St, Perris, CA 92570, USA",33.7807172,-117.2357818
"Pinacate Middle School","1990 S A St, Perris, CA 92570, USA",33.765628,-117.235383
"Sky View Elementary School","625 Mildred St, Perris, CA 92570, USA",33.7951363,-117.2101334
"Enchanted Hills Elementary School","1357 Mt Baldy St, Perris, CA 92570, USA",33.7837141,-117.2558129
"Palms Elementary School","255 E Jarvis St, Perris, CA 92571, USA",33.7911505,-117.2207899
"Lakeside Middle School","27720 Walnut St, Perris, CA 92571, USA",33.8269282,-117.1787226
"Sierra Vista Elementary School","20300 Sherman Rd, Perris, CA 92571, USA",33.8253463,-117.1821225
"Val Verde Elementary School","2656 Indian Ave, Perris, CA 92571, USA",33.8204246,-117.236379
"Perris Union High School District","155 E 4th St, Perris, CA 92570, USA",33.781986,-117.227308
"Val Verde Unified School District","975 Morgan St, Perris, CA 92571, USA",33.8368701,-117.2467456
"Park Avenue Elementary School","445 Park Ave, Perris, CA 92570, USA",33.7821353,-117.236356
"Nan Sanders Elementary School","1461 N A St, Perris, CA 92570, USA",33.800138,-117.2344017
"St. James Catholic School","250 W 3rd St, Perris, CA 92570, USA",33.7835781,-117.2313461
"Temple Christian School","745 N Perris Blvd, Perris, CA 92571, USA",33.7929604,-117.2256436
"Perris High School","175 E Nuevo Rd, Perris, CA 92571, USA",33.8000121,-117.2234774
"Clearwater Elementary School","1640 Murrieta Rd, Perris, CA 92571, USA",33.8028238,-117.2094957
"SIATech Perris Independent Study High School","11 S D St #18, Perris, CA 92570, USA",33.7863266,-117.2277232
"California Military Institute","755 N A St, Perris, CA 92570, USA",33.79198179999999,-117.2337827
"Orange Vista High School","E., 1400 Orange Ave, Perris, CA 92571, United States",33.8146637,-117.1980392
"Perris Community Adult School","418 W Ellis Ave, Perris, CA 92570, USA",33.7731997,-117.2326532
"Lighthouse Christian Academy","23100 Betty Rd, Perris, CA 92570, USA",33.761932,-117.256745
"Choice 2000 On Line School","155 E 4th St, Perris, CA 92570, USA",33.7819861,-117.2273414
"Perris Community Day School","515 E 7th St, Perris, CA 92570, USA",33.7793201,-117.2190792
"Orange Vista High School","1400, Orange Ave, Perris, CA 92571, United States",33.815521,-117.199561
"Citrus Hill High School","18150 Wood Rd, Perris, CA 92570, USA",33.856313,-117.330155
"Oak Grove at the Ranch","1251 N A St, Perris, CA 92570, USA",33.7980854,-117.2335237
"Rob Reiner Children & Families Center","2221 S A St, Perris, CA 92570, USA",33.7587655,-117.2344049
"Choice 2000 On-Line School","755 N A St, Perris, CA 92570, USA",33.7922902,-117.2345087
"Good Hope Elementary","24050 Theda St, Perris, CA 92570, USA",33.7712762,-117.2745924
"Tomas Rivera Middle School","21675 Martin St, Perris, CA 92570, USA",33.8438404,-117.2840886
"Val Verde Unified Sch Dis","972 Morgan St, Perris, CA 92571, USA",33.8385019,-117.2470357
"Columbia Elementary School","21350 Rider St, Perris, CA 92570, USA",33.830634,-117.289579
"Academy","515 E 7th St, Perris, CA 92570, USA",33.7793201,-117.2190792
"Manuel L. Real Elementary School","19150 Clark St, Perris, CA 92570, USA",33.8414466,-117.2863489
"Val Verde Regional Learning Center","3710 Webster Ave, Perris, CA 92571, USA",33.83841950000001,-117.244434
"School, Perris Ca.","26770 Orange Ave, Perris, CA 92571, USA",33.8152273,-117.1954245
"Riverside County Office of Educ","3010 Webster Ave, Perris, CA 92571, USA",33.8354831,-117.2438622
"Val Verde Student Success Academy","972 West Morgan St., Perris, CA, 92571, Perris, CA 92571, United States",33.8384495,-117.2471272
"Mead Valley Elementary School","21100 Oleander Ave, Perris, CA 92570, USA",33.8593581,-117.2950207
"PERRIS CBK- COME BACK KIDS","515 E 7th St, Perris, CA 92570, USA",33.7793357,-117.2190777
"elemantry school","2652 Spectacular Bid St, Perris, CA 92571, USA",33.8193945,-117.2179158
"Perris Union District Maintenance","300 W Metz Rd, Perris, CA 92570, USA",33.7936691,-117.2340898
"Bright Futures Academy","1251 N A St, Perris, CA 92570, USA",33.79813499999999,-117.2335162
"Vista Verde Middle School","25777 Krameria Ave, Moreno Valley, CA 92551, USA",33.8813053,-117.2119242
"Extended Learning Center School","755 N A St, Perris, CA 92570, USA",33.7922902,-117.2345087
"Perris Early Head Start","148 Avocado Ave, Perris, CA 92571, USA",33.810693,-117.222571
"Perris KinderCare","610 E Nuevo Rd, Perris, CA 92571, USA",33.801566,-117.2125
"Perris Mid high school","121, Cuyahoga Ct, Perris, CA 92570, United States",33.7459786,-117.2236215
"Perris Elementary School District Staff Development Center","S A St, Perris, CA 92570, USA",33.7590891,-117.2345162
"Heritage High School","26000 Briggs Rd, Sun City, CA 92585, USA",33.7411561,-117.1375816
"Ultralight Perris Valley Arprt","2091 Goetz Rd, Perris, CA 92570, USA",33.7632172,-117.2216846
"Rancho Verde High School","17750 Lasselle St, Moreno Valley, CA 92551, USA",33.8613638,-117.2083723
"Verano Early Headstart","1066 S D St, Perris, CA 92570, USA",33.7768098,-117.2289491